bibkey	reference
DaRosa2000	Rosa, João A da, et al. “Egg morphology of Triatoma circummaculata and Triatoma rubrovaria (Hemiptera, Reduviidae)”. Revista de Saúde pública 34.5. issn: 0034-8910 (2000): 538–542. Print.	
Rosa2007	Rosa, Simone Policena. “Description of Photuris fulvipes (Blanchard) immatures (Coleoptera, Lampyridae, Photurinae) and bionomic aspects under laboratory conditions”. Revista Brasileira de Entomologia 51.2. issn: 0085-5626 (2007): 125–130. Print.	
Rosa2010	Rosa, Simone Policena, Cleide Costa, and Neide Higashi. “New data on the natural history and description of the immatures of Fulgeochlizus bruchi, a bioluminescent beetle from Central Brazil (Elateridae, Pyrophorini)”. Papéis Avulsos de Zoologia (São Paulo) 50.41. issn: 0031-1049 (2010): 635–641. Print.	
Rosel1969	Rosel, A. “Oviposition, egg development and other features of the biology of five species of Lyctidae (Coleoptera)”. Australian Journal of Entomology 8.2. issn: 1440-6055 (1969): 145–152. Print.	
Rosen1978	Rosen, David and Avner Eliraz. “Biological and systematic studies of developmental stages in Aphytis (Hymenoptera: Aphelinidae). I. Developmental history of Aphytis chilensis Howard”. Hilgardia 46.3 (1978): 77–95. Print.	
Rosenheim1987	Rosenheim, Jay A. “Nesting behavior and bionomics of a solitary ground-nesting wasp, Ammophila dysmica (Hymenoptera: Sphecidae): influence of parasite pressure”. Annals of the Entomological Society of America 80.6. issn: 0013-8746 (1987): 739–749. Print.	
rosewall1938observations	Rosewall, O W. “Observations on the egg and larval stages of Trogoderma Inclusum Lec. (Dermestidae)”. Annals of the Entomological Society of America 31.3 (1938): 381–384. Print.	
Ross1970	Ross, D A and D D Pothecary. “Notes on adults, eggs, and first-instar larvae of Priacma serrata (Coleoptera: Cupedidae)”. The Canadian Entomologist 102.3. issn: 1918-3240 (1970): 346–348. Print.	
rost2006cellularization	Rost, M M and I Poprawa. “Cellularization during embryogenesis in Thermobia domestica (Zygentoma: Lepismatidae)”. Annals of the Entomological Society of America 99.3 (2006): 592–597. Print.	
roth1971additions	Roth, Louis M. “Additions to the oöthecae, uricose glands, ovarioles, and tergal glands of Blattaria”. Annals of the Entomological Society of America 64.1 (1971): 127–141. Print.	
Roth1974	“Control of oötheca formation and oviposition in Blattaria”. Journal of Insect Physiology 20.5. issn: 221910. doi: 10.1016/0022-1910(74)90173-5 (1974): 821–844. Print.	
roth1968oothecae	“Oöhecae of the Blattaria”. Annals of the Entomological Society of America 61.1 (1968): 83–111. Print.	
roth1968ovarioles	“Ovarioles of the Blattaria”. Annals of the Entomological Society of America 61.1 (1968): 132–140. Print.	
roth1967water	“Water changes in cockroach oöthecae in relation to the evolution of ovoviviparity and viviparity”. Annals of the Entomological Society of America 60.5 (1967): 928–946. Print.	
roth1962comparative	Roth, Louis M and Barbara Stay. “A comparative study of oöcyte development in false ovoviviparous cockroaches”. Psyche 69.4 (1962): 165–208. Print.	
Roth1961	“Oöcyte development in Diploptera punctata (Eschscholtz) (Blattaria)”. Journal of Insect Physiology 7.3-4. issn: 221910. doi: 10.1016/0022-1910(61)90071-3 (1961): 186–202. Print.	
roth1961oocyte	“Oöcyte development in Diploptera punctata (Eschscholtz) (Blattaria) development in Diploptera punctata (Eschscholtz) (Blattaria)”. Journal of Insect Physiology 7.3-4 (1961): 186–202. Print.	
Rowley1972	Rowley, Wayne A and Don C Peters. “Scanning electron microscopy of the eggshell of four species of Diabrotica (Coleoptera: Chrysomelidae)”. Annals of the Entomological Society of America 65.5. issn: 0013-8746 (1972): 1188–1191. Print.	
Roy2009	Roy, A S and D Ghosh. “Scanning electron microscopic and electrophoretic analysis of the eggshell of Gesonula punctifrons (Orthoptera: Acrididae)”. Entomon 34.2. issn: 0377-9335 (2009): 89–94. Print.	
Rozen1971	Rozen Jr, Jerome George. “Biology and immature stages of Moroccan panurgine bees (Hymenoptera, Apoidea)”. American Museum Novitates 2457 (1971). Print.	
Rozen1994	“Biology and immature stages of some cuckoo bees belonging to Brachynomadini, with descriptions of two new species (Hymenoptera: Apidae: Nomadinae)”. American Museum Novitates 3089 (1994). Print.	
RozenJr2008c	“Biology and immature stages of the bee Nomioides patruelis (Halictidae: Halictinae: Nomioidini) and of its cleptoparasite, Chiasmognathus pashupati (Apidae: Nomadinae: Ammobatini), with a preliminary phylogeny of the Halictidae based on mature larvae (Apo”. American Museum Novitates. issn: 0003-0082 (2008): 1–23. Print.	
RozenJr1973	“Biology notes on the bee Andrena accepta Viereck (Hymenoptera, Andrenidae)”. Journal of the New York Entomological Society. issn: 0028-7199 (1973): 54–61. Print.	
Rozen1992	Biology of the bee Ancylandrena larreae (Andrenidae, Andreninae) and Its cleptoparasite Hexepeolus rhodogyne (Anthophoridae, Nomadinae): With a review of egg deposition in the Nomadinae (Hymenoptera, Apoidea). 1992. Print.	
Rozen1970	“Biology, immature stages, and phylogenetic relationships of fideline bees, with the description of a new species of Neofidelia (Hymenoptera, Apoidea)”. American Museum Novitates 2427 (1970). Print.	
ROZENJR2003a	“Eggs, ovariole numbers, and modes of parasitism of cleptoparasitic bees, with emphasis on Neotropical species (Hymenoptera: Apoidea)”. American Museum Novitates. issn: 0003-0082 (2003): 1–36. Print.	
RozenJr2011a	“Immatures of exomalopsine bees with notes on nesting biology and a tribal key to mature larvae of noncorbiculate, nonparasitic Apinae (Hymenoptera: Apidae)”. American Museum Novitates 3726. issn: 0003-0082 (2011): 1–52. Print.	
RozenJr2010a	“Immatures of the Old World Oil-Collecting Bee Ctenoplectra cornuta (Apoidea: Apidae: Apinae: Ctenoplectrini)”. American Museum Novitates 3699. issn: 0003-0082 (2010): 1–14. Print.	
RozenJr2009a	“Immatures of The Solitary Bee Camptopoeum Friesei (Andrenidae: Panurginae: Panurgini) and of Its Cleptoparasite Parammobatodes Minutus (Apidae: Nomadinae: Ammobatini)”. American Museum Novitates. issn: 0003-0082 (2009): 1–14. Print.	
Rozen1973	“Life history and immature stages of the bee Neofidelia (Hymenoptera, Fideliidae)”. American Museum Novitates 2519 (1973). Print.	
JeromeJr2013	“Mature Larvae of Calliopsine Bees: Spinoliella, Callonychium, and Arhysosage Including Biological Notes, and a Larval Key to Calliopsine Genera (Hymenoptera: Apoidea: Andrenidae: Panurginae)”. American Museum Novitates 27.3782. issn: 0003-0082 (2013): 1–27. Print.	
RozenJr1993	“Nesting biologies and immature stages of the rophitine bees (Halictidae) with notes on the cleptoparasite Biastes (Anthophoridae) (Hymenoptera: Apoidea)”. American Museum Novitates. issn: 0003-0082 (1993). Print.	
Rozen1987a	“Nesting biology and immature stages of a new species in the bee genus Hesperapis (Hymenoptera, Apoidea, Melittidae, Dasypodinae)”. American Museum Novitates 2887 (1987). Print.	
Rozen2014a	“Nesting biology and immature stages of the panurgine bee genera Rhophitulus and Cephalurgus (Apoidea, Andrenidae, Protandrenini)”. American Museum Novitates 3814 (2014). Print.	
RozenJr2014	“Nesting biology and immature stages of the panurgine bee genera Rhophitulus and Cephalurgus (Apoidea: Andrenidae: Protandrenini)”. American Museum Novitates 3814. issn: 0003-0082 (2014): 1–16. Print.	
Rozen2003	“Ovarian formula, mature oocyte, and egg index of the bee Ctenoplectra (Hymenoptera: Apoidea: Apidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (2003): 640–642. Print.	
Rozen2001	“Ovarioles and oocytes of two Old World cleptoparasitic bees with biological notes on Ammobatoides (Hymenoptera, Apidae)”. American Museum Novitates 3326 (2001). Print.	
ROZENJR2001	“Ovarioles and oocytes of two Old World cleptoparasitic bees with biological notes on Ammobatoides (Hymenoptera: Apidae)”. American Museum Novitates. issn: 0003-0082 (2001): 1–12. Print.	
Rozen1993	“Phylogenetic relationships of Euherbstia with other short-tongued bees (Hymenoptera, Apoidea)”. American Museum Novitates 3060 (1993). Print.	
RozenJr2016	“The Bee Svastra sabinensis: Nesting Biology, Mature Oocyte, Postdefecating Larva, and Association with Triepeolus penicilliferus (Apidae: Apinae: Eucerini and Nomadinae: Epeolini)”. American Museum Novitates 3850. issn: 0003-0082 (2016): 1–12. Print.	
RozenJr1969	“The biology and description of a new species of African Thyreus, with life history notes on two species of Anthophora (Hymenoptera: Anthophoridae)”. Journal of the New York Entomological Society. issn: 0028-7199 (1969): 51–60. Print.	
Rozen1977a	“The ethology and systematic relationships of fideliine bees, including a description of the mature larva of Parafidelia (Hymenoptera, Apoidea)”. American Museum Novitates 2637 (1977). Print.	
Rozen1986	“The natural history of the Old World nomadine parasitic bee Pasites maculatus (Anthophoridae, Nomadinae) and its host Pseudapis diversipes (Halictidae, Nomiinae)”. American Museum Novitates 2637 (1986). Print.	
Rozen1989	“Two new species and the redescription of another species of the cleptoparasitic bee genus Triepeolus with notes on their immature stages (Anthophoridae, Nomadinae)”. American Museum Novitates 2956 (1989). Print.	
RozenJr1989	“Two new species and the redescription of another species of the cleptoparasitic bee genus Triepeolus with notes on their immature stages (Anthophoridae: Nomadinae)”. American Museum Novitates. issn: 0003-0082 (1989). Print.	
RozenJr1990	Rozen Jr, Jerome George and Stephen L Buchmann. “Nesting biology and immature stages of the bees Centris caesalpiniae, C. pallida, and the cleptoparasite Ericrocis lata (Hymenoptera: Apoidea: Anthophoridae)”. American Museum Novitates 2985. issn: 0003-0082 (1990). Print.	
RozenJr1967a	Rozen Jr, Jerome George and Marjorie S Favreau. “Biological notes on Dioxys pomonae pomonae and on its host, Osmia nigrobarbata (Hymenoptera: Megachilidae)”. Journal of the New York Entomological Society. issn: 0028-7199 (1967): 197–203. Print.	
RozenJr2015	Rozen Jr, Jerome George and Hadel H Go. “Descriptions of the egg and mature larva of the bee Chelostoma (Prochelostoma) philadelphi with additional notes on nesting Biology (Hymenoptera: Megachilidae: Megachilinae: Osmiini)”. American Museum Novitates 3844. issn: 0003-0082 (2015): 1–8. Print.	
Rozen2014	Rozen Jr, Jerome George and H Glenn Hall. “Nest site selection and nesting behavior of the bee Lithurgopsis apicalis (Megachilidae, Lithurginae).” American Museum Novitates 3796 (2014). Print.	
RozenJr2011	“Nesting and developmental biology of the cleptoparasitic bee Stelis ater (Anthidiini) and its host, Osmia chalybea (Osmiini) (Hymenoptera: Megachilidae)”. American Museum Novitates 3707. issn: 0003-0082 (2011): 1–38. Print.	
RozenJr2012a	“Nesting biology and immatures of the oligolectic bee Trachusa larreae (Apoidea: Megachilidae: Anthidiini)”. American Museum Novitates 3765. issn: 0003-0082 (2012): 1–24. Print.	
ROZENJR1980	Rozen Jr, Jerome George and Ned Robert Jacobson. “Biology and Immature Stages of Macropis nuda, Including Comparisons to Related Bees (Apoidea, Melittidae)”. American Museum Novitates 2702 (1980). Print.	
RozenJr2008f	Rozen Jr, Jerome George and Soliman M Kamel. “Hospicidal behavior of the cleptoparasitic bee Coelioxys (Allocoelioxys) coturnix, including descriptions of its larval instars (Hymenoptera: Megachilidae)”. American Museum Novitates. issn: 0003-0082 (2008): 1–15. Print.	
RozenJr2009c	“Hospicidal behavior of the cleptoparasitic wasp Sapyga luteomaculata and investigation into ontogenetic changes in its larval anatomy (Hymenoptera: Vespoidea: Sapygidae)”. American Museum Novitates. issn: 0003-0082 (2009): 1–24. Print.	
RozenJr2007	“Investigations on the biologies and immature stages of the cleptoparasitic bee genera Radoszkowskiana and Coelioxys and their Megachile hosts (Hymenoptera: Apoidea: Megachilidae: Megachilini)”. American Museum Novitates. issn: 0003-0082 (2007): 1–43. Print.	
RozenJr2009d	“Last larval instar and mature oocytes of the Old World cleptoparasitic bee Stelis murina, including a review of Stelis biology (Apoidea: Megachilidae: Megachilinae: Anthidiini)”. American Museum Novitates. issn: 0003-0082 (2009): 1–19. Print.	
RozenJr1991b	Rozen Jr, Jerome George and Ronald J McGinley. “Biology and larvae of the cleptoparasitic bee Townsendiella pulchra and nesting biology of its host Hesperapis larreae (Hymenoptera: Apoidea)”. American Museum Novitates. issn: 0003-0082 (1991). Print.	
Rozen1988	Rozen Jr, Jerome George and Charles Duncan Michener. Nests and Immature Stages of the Bee Paratetrapedia Swainsonae (Hymenoptera, Anthophoridae). 1988. Print.	
ROZENJR2004	Rozen Jr, Jerome George and Hikmet Özbek. “Immature stages of the cleptoparasitic bee Dioxys cincta (Apoidea: Megachilidae: Megachilinae: Dioxyini)”. American Museum Novitates. issn: 0003-0082 (2004): 1–12. Print.	
RozenJr2005	“Notes on the egg and egg deposition of the cleptoparasite Thyreus ramosus (Hymenoptera: Apidae: Melectini)”. Journal of the Kansas Entomological Society 78.1. issn: 0022-8567 (2005): 34–40. Print.	
ROZENJR2003	“Oocytes, eggs, and ovarioles of some long-tongued bees (Hymenoptera: Apoidea)”. American Museum Novitates. issn: 0003-0082 (2003): 1–35. Print.	
Rozen1987	Rozen Jr, Jerome George and Frank Downs Parker. “Nesting biology of the bee Ashmeadiella holtii and its cleptoparasite, a new species of Stelis (Apoidea, Megachilidae)”. American Museum Novitates 2900 (1987). Print.	
RozenJr1987	“Nesting biology of the bee Ashmeadiella holtii and its cleptoparasite, a new species of Stelis (Apoidea: Megachilidae)”. American Museum Novitates. issn: 0003-0082 (1987). Print.	
Rozen1991	Rozen Jr, Jerome George and Arturo Roig-Alsina. “Biology, larvae, and oocytes of the parasitic bee tribe Caenoprosopidini (Hymenoptera, Anthophoridae, Nomadinae)”. American Museum Novitates 3004 (1991). Print.	
RozenJr1991	“Biology, larvae, and oocytes of the parasitic bee tribe Caenoprosopidini (Hymenoptera: Anthophoridae: Nomadinae)”. American Museum Novitates. issn: 0003-0082 (1991). Print.	
Rozen1997	Rozen Jr, Jerome George, Arturo Roig-Alsina, and Byron A Alexander. The cleptoparasitic bee genus Rhopalolemma, with reference to other Nomadinae (Apidae), and biology of its host Protodufourea (Halictidae: Rophitinae). 1997. Print.	
Rozen1995	Rozen Jr, Jerome George and Luisa Ruz. “South American panurgine bees (Andrenidae, Panurginae). Part II. Adults, immature stages, and biology of Neffapis longilingua, a new genus and species with an elongate glossa”. American Museum Novitates 3136 (1995). Print.	
RozenJr2009b	Rozen Jr, Jerome George, Jakub Straka, and Katerina Rezkova. “Oocytes, larvae, and cleptoparasitic behavior of Biastes emarginatus (Hymenoptera: Apidae: Nomadinae: Biastini)”. American Museum Novitates. issn: 0003-0082 (2009): 1–15. Print.	
RozenJr2014a	Rozen Jr, Jerome George and Eli S Wyman. “Early nesting biology of the wood-nesting adventive bee, Lithurgus chrysurus Fonscolombe (Apoidea: Megachilidae: Lithurginae)”. American Museum Novitates 3804. issn: 0003-0082 (2014): 1–12. Print.	
RozenJr2015a	“The Chilean Bees Xeromelissa nortina and X. sielfeldi: Their Nesting Biologies and Immature Stages, Including Biological Notes on X. rozeni (Colletidae: Xeromelissinae)”. American Museum Novitates 3838. issn: 0003-0082 (2015): 1–20. Print.	
RozenJr2010	Rozen Jr, Jerome George, et al. “Biology and morphology of the immature stages of the cleptoparasitic bee Coelioxys chichimeca (Hymenoptera: Apoidea: Megachilidae)”. American Museum Novitates. issn: 0003-0082 (2010): 1–26. Print.	
Rozen2009	Rozen Jr, Jerome George, et al. “Biology of the bee Hoplitis (Hoplitis ) monstrabilis Tkalců and descriptions of its egg and larva (Megachilidae, Megachilinae, Osmiini )”. American Museum Novitates 3645 (2009). Print.	
RozenJr2009	“Biology of the bee Hoplitis (Hoplitis) monstrabilis Tkalcu and descriptions of its egg and larva (Megachilidae: Megachilinae: Osmiini)”. American Museum Novitates. issn: 0003-0082 (2009): 1–12. Print.	
RozenJr2011b	Rozen Jr, Jerome George, et al. “Biology of the Cleptoparasitic Bee Mesoplia sapphirina (Ericrocidini) and Its Host Centris flavofasciata (Centridini) (Apidae: Apinae)”. American Museum Novitates 3723. issn: 0003-0082 (2011): 1–36. Print.	
ROZENJR2006	Rozen Jr, Jerome George, et al. “Nesting biologies and immature stages of the tapinotaspidine bee genera Monoeca and Lanthanomelissa and of their osirine cleptoparasites Protosiris and Parepeolus (Hymenoptera: Apidae: Apinae)”. American Museum Novitates. issn: 0003-0082 (2006): 1–60. Print.	
RozenJr1999	Rozen Jr, Jerome George, et al. “Nesting biology and immature stages of the South American bee genus Acamptopoeum (Hymenoptera: Andrenidae: Panurginae)”. Entomological Contributions in Memory of Byron A. Alexander. 1999. 59–67. issn: 893380571. Print.	
ruberson1987embryogenesis	Ruberson, John R, Joseph R Larsen, and Clive D Jorgensen. “Embryogenesis of the codling moth, Cydia pomonella (Lepidoptera: Tortricidae)”. Annals of the Entomological Society of America 80.5 (1987): 561–570. Print.	
Ruberson1989	Ruberson, John R, Catherine A Tauber, and Maurice J Tauber. “Development and survival of Telenomus lobatus, a parasitoid of chrysopid eggs: effect of host species”. Entomologia Experimentalis et Applicata 51.2. issn: 1570-7458 (1989): 101–106. Print.	
Ruf2007	Ruf, Mónica L López. “Notas sobre Naucoroidea (Hemiptera: Naucoridae). 3ra. Serie. Estudios con microscopio electrónico de barrido: corion de los huevos de Ambrysus (Ambrysus) attenuatus Montandon, Ambrysus (Ambrysus) acutangulus Montandon y Ambrysus (Ambrysus) stali La Rivers”. Lundiana 8.1 (2007): 9–12. Print.	
Rugg1984	Rugg, D and A Rose. “Reproductive Biology of Some Australian Cockroaches (Blattodea: Blaberidae)”. Journal of the Australian Entomological Society 23.2, issn: 1440-6055 (1984): 113–117. Print.	
Rust1973	Rust, R W and R W Thorp. “The biology of Stelis chlorocyanea, a parasite of Osmia nigrifrons (Hymenoptera: Megachilidae)”. Journal of the Kansas Entomological Society. issn: 0022-8567 (1973): 548–562. Print.	
Rust1989	Rust, R, P Torchio, and G Trostle. “Late embryogenesis and immature development of Osmia rufa cornigera (Rossi) (Hymenoptera: Megachilidae)”. Apidologie 20.4 (1989): 359–367. Print.	
Ruz1993	Ruz, Luisa and Jerome George Rozen. “South American panurgine bees (Apoidea, Andrenidae, Panurginae). Part 1, Biology, mature larva, and description of a new genus and species”. American Museum Novitates (1993). Print.	
Ruzicka1992	Ruzicka, Jan. “The immature stages of central European species of Nicrophorus (Coleoptera, Silphidae)”. Acta Entomologica Bohemoslovaca 89 (1992): 113–135. Print.	
Ryan1963	Ryan, Roger B. “Contribution to the embryology of Coeloides brunneri (Hymenoptera: Braconidae)”. Annals of the Entomological Society of America 56.5. issn: 0013-8746 (1963): 639–648. Print.	
ryan1963contribution	“Contribution to the embryology of Coeloides brunneri (Hymenoptera: Braconidae)”. Annals of the Entomological Society of America 56.5 (1963): 639–648. Print.	
Baranova1990	Saakyan-Baranova, A A. “Morphological study of preimaginal stages of six species of the genus Trichogramma Westwood (Hymenoptera, Trichogrammatidae)”. Entomologicheskoe Obozrenie 69.2. issn: 0367-1445 (1990): 257–263. Print.	
sacchi1998some	Sacchi, L, et al. “Some aspects of intracellular symbiosis during embryo development of Mastotermes darwiniensis (Isoptera: Mastotermitidae)”. Parassitologia 40.3 (1998): 309–316. Print.	
Sagliocco1995	Sagliocco, Jean-Louis and James B Coupland. “Biology and host specificity of Chamaesphecia mysiniformis (Lepidoptera: Sesiidae), a potential biological control agent of Marrubium vulgare (Lamiaceae) in Australia”. Biocontrol Science and Technology 5.4. issn: 0958-3157 (1995): 509–516. Print.	
sahlen1995transmission	Sahlén, G. “Transmission electron microscopy of the eggshell in five damselflies (Zygoptera: Coenagrionidae, Megapodagrionidae, Calopterygidae)”. Odonatologica 24.3 (1995): 311–318. Print.	
Sahlen2002	Sahlén, Göran and Frank Suhling. “Relationships between egg size and clutch size among European species of Sympetrinae (Odonata: Libellulidae)”. International Journal of Odonatology 5.2. issn: 1388-7890 (2002): 181–191. Print.	
Saini1984	Saini, Esteban Daniel. “Identificación de los huevos de pentatomidos (Heteroptera) encontrados en cultivos de soja”. Idia 425 (1984). Print.	
de1996incomplete	Saint Phalle, Brigitte de and William Sullivan. “Incomplete sister chromatid separation is the mechanism of programmed chromosome elimination during early Sciara coprophila embryogenesis”. Development 122.12 (1996): 3775–3784. Print.	
saito1934study	Saito, Saburo. “A study on the development of the tusser worm, Antheraea pernyi Guer”. Journal of the Faculty of Agriculture, Hokkaido Imperial University 33.4 (1934): 249–266. Print.	
Salas-Araiza2013	Salas-Araiza, Manuel Darío, et al. “Characterization and comparison of the eggs of seven species of Mexican grasshoppers”. Southwestern Entomologist 38.2. issn: 0147-1724 (2013): 267–274. Print.	
Salkeld1983	Salkeld, E H. “A catalogue of the eggs of some Canadian Geometridae (Lepidoptera), with comments”. Memoirs of the Entomological Society of Canada 115.S126 (1983): 3–271. Print.	
Salkeld1975	“Biosystematics of the genus Euxoa (Lepidoptera: Noctuidae): IV. Eggs of the subgenus Euxoa Hbn.” The Canadian Entomologist 107.11. issn: 1918-3240 (1975): 1137–1152. Print.	
Salkeld1980	“Microtype eggs of some Tachinidae (Diptera)”. The Canadian Entomologist 112.1. issn: 1918-3240 (1980): 51–83. Print.	
Salkeld1972	“The chorionic architecture of Zelus exsanguis (Hemiptera: Reduviidae)”. The Canadian Entomologist 104.3. issn: 1918-3240 (1972): 433–442. Print.	
Salkeld1978	“The chorionic structure of the eggs of some species of bumblebees (Hymenoptera: Apidae: Bombinae), and its use in taxonomy”. The Canadian Entomologist 110.1. issn: 1918-3240 (1978): 71–83. Print.	
Sallum2004	Sallum, Maria Anice Mureb and Daniel Corugedo Flores. “Ultrastructure of the eggs of two species of Anopheles (Anopheles) Meigen (Diptera, Culicidae)”. Revista Brasileira de Entomologia 48.2. issn: 0085-5626 (2004): 185–192. Print.	
SanBlas2013	San Blas, German and Donald R Davis. “Redescription of Dicranoses capsulifex Kieffer and Jörgensen (Lepidoptera: Cecidosidae) with description of the immature stages and biology”. Zootaxa 3682.2. issn: 1175-5334 (2013): 371–384. Print.	
Sanchez1997	Sanchez, Mario and Albert C Hendricks. “Life history and secondary production of Cheumatopsyche spp. in a small Appalachian stream with two different land uses on its watershed”. Hydrobiologia 354.1-3. issn: 0018-8158 (1997): 127–139. Print.	
Sanchez1985	Sánchez, S López, A De los Santos, and C Montes. “Estudio morfológico de los estados preimaginales de Micrositus ulyssiponensis Germ. 1824 (Coleoptera: Tenebrionidae)”. Anales de Biología 3, (1985): 95–102. Print.	
sander1959analyse	Sander, Klaus. “Analyse des ooplasmatischen Reaktionssystems von Euscelis plebejus Fall.(Cicadina) durch Isolieren und Kombinieren von Keimteilen”. Development Genes and Evolution 151.4 (1959): 430–497. Print.	
Sandoval2011	Sandoval, Claudia M, et al. “Morphology of the eggs of the genus Belminus (Hemiptera: Reduviidae: Triatominae) by optical and scanning electron microscopy”. Zootaxa 2970 (2011): 33–40. Print.	
Sanford1964	Sanford, K H. “Eggs and oviposition sites of some predacious mirids on apple trees (Miridae: Hemiptera)”. The Canadian Entomologist 96.9. issn: 1918-3240 (1964): 1185–1189. Print.	
Sanit2013	Sanit, S, et al. “Morphology and identification of fly eggs: application in forensic entomology”. Tropical Biomedicine 30.2. issn: 0127-5720 (2013): 325–337. Print.	
Santana1961	Santana, Frederick Joseph. “The biology of immature Diptera associated with bacterial decay in the giant saguaro cactus, (Cereus giganteus Engelmann)”. MA thesis. 1961. Print.	
DosSantos2009	Santos, Carolina M dos, et al. “Comparative descriptions of eggs from three species of Rhodnius (Hemiptera: Reduviidae: Triatominae)”. Memórias do Instituto Oswaldo Cruz 104.7. issn: 0074-0276 (2009): 1012–1018. Print.	
IMonteys2005	Sarto i Monteys, Víctor, et al. “Comparative morphology of the egg of the castniid palm borer, Paysandisia archon (Burmeister, 1880) (Lepidoptera: Castniidae)”. Systematics and Biodiversity 3.2. issn: 1478-0933 (2005): 179–201. Print.	
Sartori2008	Sartori, Michel, Janice G Peters, and Michael D Hubbard. “A revision of Oriental Teloganodidae (Insecta, Ephemeroptera, Ephemerelloidea)”. Zootaxa 1957 (2008): 1–51. Print.	
Saska2004	Saska, Pavel and Alois Honek. “Development of the beetle parasitoids, Brachinus explodens and B. crepitans (Coleoptera: Carabidae)”. Journal of Zoology 262.1. issn: 1469-7998 (2004): 29–36. Print.	
Satar2004	Satar, Ali and Cengizhan Özbay. “Eggs, first instar larvae and distribution of the neuropterids Lertha extensa and L. sheppardi (Neuroptera: Nemopteridae) in south-eastern Turkey”. Zoology in the Middle East 32.1. issn: 0939-7140 (2004): 91–96. Print.	
Satar2007	Satar, Ali, et al. “Morphology and surface structure of eggs and first instar larvae of Croce schmidti (Navás, 1927) (Neuroptera: Nemopteridae)”. Zootaxa 1554 (2007): 49–55. Print.	
Satchell1953	Satchell, G H. “On the early stages of Bruchomyia argentina Alexander (Diptera: Psychodidae)”. Proceedings of the Royal Entomological Society of London. Series A, General Entomology 28.1-3, (1953): 1–12. Print.	
SATHISH2013	Sathish, Ravulapenta, D Jemla Naik, and Kundaty Deepika. “Biology of sapota midrib folder, Banisia myrsusalis elearalis Walker (Thyrididae: Lepidoptera) infesting sapota under hill zone of Karnataka”. Pest Management In Horticultural Ecosystems 19.2. issn: 0974-4541 (2013): 160–163. Print.	
Savino2012	Savino, Vivina, Carlos E Coviella, and María G Luna. “Reproductive biology and functional response of Dineulophus phtorimaeae, a natural enemy of the tomato moth, Tuta absoluta”. Journal of Insect Science 12.1. issn: 1536-2442 (2012). Print.	
scali2009revision	Scali, Valerio. “Revision of the Iberian stick insect genus Leptynia Pantel and description of the new genus Pijnackeria”. Italian Journal of Zoology 76.4 (2009): 381–391. Print.	
scali1990identity	Scali, Valerio, Barbara Mantovani, and Ombretta Marescalchi. “Identity between Ramulus libanicus (Uvarov) and Ramulus turcus (Karabaḡ) (Insecta, Phasmatodea): body, egg and chromosome analysis”. Zoologica Scripta 19.1 (1990): 65–72. Print.	
Scali1977	Scali, Valerio and Massimo Mazzini. “Fine morphology and amino acid analysis of the egg capsule of the stick insect, Clonopsis gallica (Charp.) (Cheleutoptera: Bacillinae)”. International Journal of Insect Morphology and Embryology 6.5. issn: 0020-7322 (1977): 255–264. Print.	
scali1990uovo	“L’uovo di Palophus rothschildi Bolivar al microscopio electtronico a scansiore”. Bollettino della Società Entomologica Italiana, Genova 122.2 (1990): 91–101. Print.	
scali1987intraspecific	Scali, Valerio, et al. “Intraspecific ootaxonomy of Bacillus rossius (Rossi) (Insecta Phasmatodea)”. Italian Journal of Zoology 54.1 (1987): 41–47. Print.	
Schaefer2003	Schaefer, Carl W and Klaus W Wolf. “Notes on the harpactocorine genus Sinea (Hemiptera: Heteroptera: Reduviidae)”. Journal of the New York Entomological Society 111.4. issn: 0028-7199 (2003): 227–234. Print.	
Schaefer1962	Schaefer, Charles H. “Life history of Conophthorus radiatae (Coleoptera: Scolytidae) and its principal parasite, Cephalonomia utahensis (Hymenoptera: Bethylidae)”. Annals of the Entomological Society of America 55.5. issn: 0013-8746 (1962): 569–577. Print.	
Schmidt-Ott2009	Schmidt-Ott, Urs, et al. “Extremely small genomes in two unrelated dipteran insects with shared early developmental traits”. Development Genes and Evolution 219.4. issn: 0949-944X (2009): 207–210. Print.	
Schmidt1996	Schmidt, Daniel A. “Description of the immatures of Erichsonius alumnus Frank and E. pusio (Horn) (Coleoptera: Staphylinidae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1996): 205–215. Print.	
Schmidt1994b	“Notes on the biology and a description of the egg, third instar larva and pupa of Neobisnius sobrinus (Coleoptera: Staphylinidae)”. Transactions of the Nebraska Academy of Sciences 21 (1994): 55–61. Print.	
Schmidt1994a	“Notes on the biology and a description of the egg, third instar larva and pupa of Platydracus tomentosus (Gravenhorst) (Coleoptera: Staphylinidae)”. The Coleopterists’ Bulletin. issn: 0010-065X (1994): 310–318. Print.	
schulte2008extremely	Schulte, Glen G, et al. “Extremely large aggregations of collembolan eggs on Humble Island, Antarctica: a response to early seasonal warming?” Polar Biology 31.7 (2008): 889–892. Print.	
schwalm1973early	Schwalm, Fritz E and Harvey A Bender. “Early development of the kelp fly, Coelopa frigida (Diptera). II. Morphology of cleavage and blastoderm formation”. Journal of Morphology 141.2 (1973): 235–255. Print.	
